repository_owner,repository_name,pr_number,waste,num_commits,status
facebook,hhvm,7853,1592,1,abandoned
facebook,hhvm,7856,28,1,abandoned
facebook,hhvm,7845,64,1,abandoned
facebook,hhvm,7841,139647,1,abandoned
facebook,hhvm,7849,74,1,abandoned
facebook,hhvm,7840,527,1,abandoned
facebook,hhvm,7851,255312,5,abandoned
facebook,hhvm,7833,935,2,abandoned
facebook,hhvm,7838,140462,3,open
facebook,hhvm,7862,95399,6,abandoned
facebook,hhvm,7844,1557876,3,abandoned
facebook,hhvm,7830,300,1,abandoned
facebook,hhvm,7813,25,1,abandoned
facebook,hhvm,7824,1,1,abandoned
facebook,hhvm,7832,55088,1,abandoned
facebook,hhvm,7809,13579,3,abandoned
facebook,hhvm,7807,0,1,abandoned
facebook,hhvm,7808,11319,1,abandoned
facebook,hhvm,7810,127,1,abandoned
facebook,hhvm,7811,233096,6,abandoned
facebook,hhvm,7805,9490,1,abandoned
facebook,hhvm,7820,133,4,abandoned
facebook,hhvm,7801,11845,2,abandoned
facebook,hhvm,7799,2,2,abandoned
facebook,hhvm,7823,2619,3,abandoned
facebook,hhvm,7806,1088,1,abandoned
facebook,hhvm,7795,7417,2,abandoned
facebook,hhvm,7796,5573,3,abandoned
facebook,hhvm,7791,0,1,abandoned
facebook,hhvm,7793,277944,3,abandoned
facebook,hhvm,7789,97,1,abandoned
facebook,hhvm,7792,2366348,4,abandoned
facebook,hhvm,7782,191539,1,abandoned
facebook,hhvm,7785,47,1,abandoned
facebook,hhvm,7788,137,2,abandoned
facebook,hhvm,7778,846,1,abandoned
facebook,hhvm,7781,186835,2,abandoned
facebook,hhvm,7784,254,1,abandoned
facebook,hhvm,7777,57,2,abandoned
facebook,hhvm,7775,13051,1,abandoned
facebook,hhvm,7797,11238,10,abandoned
facebook,hhvm,7766,0,1,abandoned
facebook,hhvm,7769,343745,1,abandoned
facebook,hhvm,7771,1894482,1,abandoned
facebook,hhvm,7765,272,1,abandoned
facebook,hhvm,7767,215053,1,abandoned
facebook,hhvm,7772,123,2,abandoned
facebook,hhvm,7774,8501,2,abandoned
facebook,hhvm,7761,25147,2,abandoned
facebook,hhvm,7758,9901,1,abandoned
facebook,hhvm,7763,332229,2,abandoned
facebook,hhvm,7744,255282,1,abandoned
facebook,hhvm,7760,47,1,abandoned
facebook,hhvm,7759,6,1,abandoned
facebook,hhvm,7737,368,2,abandoned
facebook,hhvm,7717,313383,1,abandoned
facebook,hhvm,7718,51,2,abandoned
facebook,hhvm,7715,1,1,abandoned
facebook,hhvm,7710,260,2,abandoned
facebook,hhvm,7712,865,1,abandoned
facebook,hhvm,7707,809,2,abandoned
facebook,hhvm,7738,22384,1,abandoned
facebook,hhvm,7704,329207,1,abandoned
facebook,hhvm,7768,80630,9,abandoned
facebook,hhvm,7729,314492,1,abandoned
facebook,hhvm,7702,7,1,abandoned
facebook,hhvm,7694,1,1,abandoned
facebook,hhvm,7719,92,1,abandoned
facebook,hhvm,7701,27497,1,abandoned
facebook,hhvm,7688,1,1,abandoned
facebook,hhvm,7703,0,3,abandoned
facebook,hhvm,7651,12716,2,abandoned
facebook,hhvm,7654,50732,2,abandoned
facebook,hhvm,7644,688,2,abandoned
facebook,hhvm,7641,2454,2,abandoned
facebook,hhvm,7663,67,1,abandoned
facebook,hhvm,7661,43126,4,abandoned
facebook,hhvm,7640,27287,2,abandoned
facebook,hhvm,7646,84,3,abandoned
facebook,hhvm,7638,64,1,abandoned
facebook,hhvm,7639,418649,1,abandoned
facebook,hhvm,7635,102,1,abandoned
facebook,hhvm,7634,96,1,abandoned
facebook,hhvm,7633,210,1,abandoned
facebook,hhvm,7632,799,1,abandoned
facebook,hhvm,7631,2614834,1,abandoned
facebook,hhvm,7619,15173,2,abandoned
facebook,hhvm,7614,22,1,abandoned
facebook,hhvm,7630,1555,2,abandoned
facebook,hhvm,7610,17,1,abandoned
facebook,hhvm,7612,506,1,abandoned
facebook,hhvm,7607,313098,1,abandoned
facebook,hhvm,7608,29087,1,abandoned
facebook,hhvm,7606,180,1,abandoned
facebook,hhvm,7609,440,1,abandoned
facebook,hhvm,7597,2,1,abandoned
facebook,hhvm,7628,1790472,6,abandoned
facebook,hhvm,7598,11,1,abandoned
facebook,hhvm,7637,5515,9,abandoned
facebook,hhvm,7602,4949841,3,abandoned
facebook,hhvm,7687,2768944,19,abandoned
facebook,hhvm,7587,10,1,abandoned
facebook,hhvm,7593,2423886,2,abandoned
facebook,hhvm,7595,682,2,abandoned
facebook,hhvm,7581,41241,1,abandoned
facebook,hhvm,7592,232329,2,abandoned
facebook,hhvm,7562,2770937,1,abandoned
facebook,hhvm,7576,38839,1,abandoned
facebook,hhvm,7561,158,1,abandoned
facebook,hhvm,7558,1,1,abandoned
facebook,hhvm,7586,2315926,4,open
facebook,hhvm,7556,56325,1,abandoned
facebook,hhvm,7555,2413441,1,abandoned
facebook,hhvm,7553,2406722,1,abandoned
facebook,hhvm,7550,1615126,1,abandoned
facebook,hhvm,7552,1,1,abandoned
facebook,hhvm,7547,42,1,abandoned
facebook,hhvm,7549,4,1,abandoned
facebook,hhvm,7532,515279,1,abandoned
facebook,hhvm,7534,429739,1,abandoned
facebook,hhvm,7569,254,3,abandoned
facebook,hhvm,7540,437,2,abandoned
facebook,hhvm,7538,0,1,abandoned
facebook,hhvm,7563,3737331,7,abandoned
facebook,hhvm,7502,6,1,abandoned
facebook,hhvm,7526,2135,1,abandoned
facebook,hhvm,7496,296459,1,abandoned
facebook,hhvm,7516,790035,2,abandoned
facebook,hhvm,7498,323,4,abandoned
facebook,hhvm,7499,1838649,4,abandoned
facebook,hhvm,7522,646535,13,abandoned
facebook,hhvm,7481,17095,1,abandoned
facebook,hhvm,7494,5,1,abandoned
facebook,hhvm,7461,2043548,1,abandoned
facebook,hhvm,7495,1211,1,abandoned
facebook,hhvm,7459,603254,1,abandoned
facebook,hhvm,7480,380440,2,abandoned
facebook,hhvm,7458,195773,1,open
facebook,hhvm,7486,58937,1,abandoned
facebook,hhvm,7457,9,1,abandoned
facebook,hhvm,7490,1212380,1,abandoned
facebook,hhvm,7460,602730,4,abandoned
facebook,hhvm,7443,31,1,abandoned
facebook,hhvm,7435,39286,1,abandoned
facebook,hhvm,7449,580189,2,abandoned
facebook,hhvm,7455,130461,3,abandoned
facebook,hhvm,7423,193,1,abandoned
facebook,hhvm,7409,13239,3,abandoned
facebook,hhvm,7415,127290,1,abandoned
facebook,hhvm,7408,146,2,abandoned
facebook,hhvm,7398,26432,3,abandoned
facebook,hhvm,7396,1178784,1,abandoned
facebook,hhvm,7437,823,2,abandoned
facebook,hhvm,7427,3344703,4,abandoned
facebook,hhvm,7395,16155,1,abandoned
facebook,hhvm,7391,28262,1,abandoned
facebook,hhvm,7388,124664,1,abandoned
facebook,hhvm,7386,83959,1,abandoned
facebook,hhvm,7393,5005,2,abandoned
facebook,hhvm,7392,112363,5,abandoned
facebook,hhvm,7389,76295,8,abandoned
facebook,hhvm,7374,1,1,abandoned
facebook,hhvm,7370,99241,1,abandoned
facebook,hhvm,7380,161,1,abandoned
facebook,hhvm,7372,6353,2,abandoned
facebook,hhvm,7379,23,1,abandoned
facebook,hhvm,7362,186906,1,abandoned
facebook,hhvm,7361,186087,1,abandoned
facebook,hhvm,7363,116852,1,abandoned
facebook,hhvm,7373,7260,2,abandoned
facebook,hhvm,7364,910840,1,abandoned
facebook,hhvm,7356,61550,1,abandoned
facebook,hhvm,7371,7704,3,abandoned
facebook,hhvm,7360,84464,1,abandoned
facebook,hhvm,7343,904,1,abandoned
facebook,hhvm,7334,452,1,abandoned
facebook,hhvm,7339,18659,2,abandoned
facebook,hhvm,7342,49,1,abandoned
facebook,hhvm,7328,3330,1,abandoned
facebook,hhvm,7329,18717,2,abandoned
facebook,hhvm,7337,19162,4,abandoned
facebook,hhvm,7326,3260,1,abandoned
facebook,hhvm,7319,63450,1,abandoned
facebook,hhvm,7348,13827,8,abandoned
facebook,hhvm,7359,219692,4,abandoned
facebook,hhvm,7313,12791,1,abandoned
facebook,hhvm,7327,105301,7,abandoned
facebook,hhvm,7325,27,1,abandoned
facebook,hhvm,7315,12316,2,abandoned
facebook,hhvm,7347,2261,9,abandoned
facebook,hhvm,7314,14275,7,abandoned
facebook,hhvm,7301,196626,1,abandoned
facebook,hhvm,7299,2072,1,abandoned
facebook,hhvm,7311,11953,2,abandoned
facebook,hhvm,7312,12787,1,abandoned
facebook,hhvm,7304,115,1,abandoned
facebook,hhvm,7305,8993453,2,abandoned
facebook,hhvm,7300,5228584,1,abandoned
facebook,hhvm,7285,28765,1,abandoned
facebook,hhvm,7286,0,1,abandoned
facebook,hhvm,7284,0,1,abandoned
facebook,hhvm,7289,10708,3,abandoned
facebook,hhvm,7275,1227,1,abandoned
facebook,hhvm,7269,239,1,abandoned
facebook,hhvm,7259,92,1,abandoned
facebook,hhvm,7283,4522,1,abandoned
facebook,hhvm,7268,1108,3,abandoned
facebook,hhvm,7298,9127,10,abandoned
facebook,hhvm,7267,59019,1,abandoned
facebook,hhvm,7264,687951,2,abandoned
facebook,hhvm,7250,13,1,abandoned
facebook,hhvm,7274,6698714,7,abandoned
facebook,hhvm,7252,182,2,abandoned
facebook,hhvm,7245,244941,1,abandoned
facebook,hhvm,7257,3520,3,abandoned
facebook,hhvm,7256,70,1,abandoned
facebook,hhvm,7246,1448,1,abandoned
facebook,hhvm,7244,350,2,abandoned
facebook,hhvm,7227,19632,2,abandoned
facebook,hhvm,7242,2338693,3,abandoned
facebook,hhvm,7234,839260,1,abandoned
facebook,hhvm,7217,69541,1,abandoned
facebook,hhvm,7210,87,1,abandoned
facebook,hhvm,7222,988,1,abandoned
facebook,hhvm,7226,139,1,abandoned
facebook,hhvm,7208,806764,1,abandoned
facebook,hhvm,7206,357,1,abandoned
facebook,hhvm,7209,16,1,abandoned
facebook,hhvm,7218,4141,1,abandoned
facebook,hhvm,7197,25890,1,abandoned
facebook,hhvm,7205,677,3,abandoned
facebook,hhvm,7188,177,1,abandoned
facebook,hhvm,7190,718,2,abandoned
facebook,hhvm,7219,21739,1,abandoned
facebook,hhvm,7194,3181,1,abandoned
facebook,hhvm,7195,301057,3,abandoned
facebook,hhvm,7175,455,1,abandoned
facebook,hhvm,7187,333489,2,abandoned
facebook,hhvm,7172,45974,1,abandoned
facebook,hhvm,7159,174791,2,abandoned
facebook,hhvm,7162,385,5,abandoned
facebook,hhvm,7158,1822,1,abandoned
facebook,hhvm,7160,1828,1,abandoned
facebook,hhvm,7154,1149901,2,abandoned
facebook,hhvm,7143,1213,1,abandoned
facebook,hhvm,7186,2300,6,abandoned
facebook,hhvm,7145,12767,2,abandoned
facebook,hhvm,7140,306,1,abandoned
facebook,hhvm,7147,385,3,abandoned
facebook,hhvm,7166,3848,8,abandoned
facebook,hhvm,7182,2428357,245,abandoned
facebook,hhvm,7124,20,1,abandoned
facebook,hhvm,7127,243,1,abandoned
facebook,hhvm,7128,356,1,abandoned
facebook,hhvm,7121,306,1,abandoned
facebook,hhvm,7125,790,4,abandoned
facebook,hhvm,7119,9674,1,abandoned
facebook,hhvm,7129,2646,2,abandoned
facebook,hhvm,7139,2507,5,abandoned
facebook,hhvm,7123,7273,2,abandoned
facebook,hhvm,7138,25155,2,abandoned
facebook,hhvm,7117,65438,2,abandoned
facebook,hhvm,7108,308011,1,abandoned
facebook,hhvm,7111,3198,1,abandoned
facebook,hhvm,7113,616,2,abandoned
facebook,hhvm,7107,3422,1,abandoned
facebook,hhvm,7105,0,1,abandoned
facebook,hhvm,7110,4809,5,abandoned
facebook,hhvm,7114,381,3,abandoned
facebook,hhvm,7099,104515,1,abandoned
facebook,hhvm,7100,8100,2,abandoned
facebook,hhvm,7095,75816,1,abandoned
facebook,hhvm,7092,35864,1,abandoned
facebook,hhvm,7088,43205,1,abandoned
facebook,hhvm,7098,857,3,abandoned
facebook,hhvm,7102,136758,5,abandoned
facebook,hhvm,7097,4050,5,abandoned
facebook,hhvm,7086,15,1,abandoned
facebook,hhvm,7085,2860,1,abandoned
facebook,hhvm,7101,104282,1,abandoned
facebook,hhvm,7118,4514,2,abandoned
facebook,hhvm,7084,253,1,abandoned
facebook,hhvm,7080,643,2,abandoned
facebook,hhvm,7065,624,1,abandoned
facebook,hhvm,7073,848,4,abandoned
facebook,hhvm,7083,10404,5,abandoned
facebook,hhvm,7062,30,1,abandoned
facebook,hhvm,7077,1673,3,abandoned
facebook,hhvm,7063,6205,4,abandoned
facebook,hhvm,7060,394831,1,abandoned
facebook,hhvm,7058,398,1,abandoned
facebook,hhvm,7061,33118,4,abandoned
facebook,hhvm,7055,309,1,abandoned
facebook,hhvm,7081,4182,8,abandoned
facebook,hhvm,7066,1546,8,abandoned
facebook,hhvm,7056,802,4,abandoned
facebook,hhvm,7054,99,1,abandoned
facebook,hhvm,7057,2499,5,abandoned
facebook,hhvm,7052,17828,1,abandoned
facebook,hhvm,7049,212405,1,abandoned
facebook,hhvm,7051,18761,1,abandoned
facebook,hhvm,7053,115,2,abandoned
facebook,hhvm,7059,1540,6,abandoned
facebook,hhvm,7046,107429,1,abandoned
facebook,hhvm,7043,185355,1,abandoned
facebook,hhvm,7036,42,1,abandoned
facebook,hhvm,7041,753,2,abandoned
facebook,hhvm,7047,8752,6,abandoned
facebook,hhvm,7045,79496,5,abandoned
facebook,hhvm,7048,108013,5,abandoned
facebook,hhvm,7028,100911,22,abandoned
facebook,hhvm,7024,1386210,1,abandoned
facebook,hhvm,7023,84,1,abandoned
facebook,hhvm,7017,3736,1,abandoned
facebook,hhvm,7019,7530,4,abandoned
facebook,hhvm,7014,7801,2,abandoned
facebook,hhvm,7016,10148,1,abandoned
facebook,hhvm,7018,667,2,abandoned
facebook,hhvm,7007,7105,1,abandoned
facebook,hhvm,7012,4482362,1,abandoned
facebook,hhvm,7011,20597,1,abandoned
facebook,hhvm,7006,6534,1,abandoned
facebook,hhvm,6995,155,1,abandoned
facebook,hhvm,6980,3,1,abandoned
facebook,hhvm,6981,50775,1,abandoned
facebook,hhvm,6975,5,1,abandoned
facebook,hhvm,6988,12526,2,abandoned
facebook,hhvm,7000,1027,4,abandoned
facebook,hhvm,6971,7,1,abandoned
facebook,hhvm,6946,9,1,abandoned
facebook,hhvm,6943,105257,1,abandoned
facebook,hhvm,6972,7105,1,abandoned
facebook,hhvm,6932,25,1,abandoned
facebook,hhvm,6929,2016,4,abandoned
facebook,hhvm,6925,13058,1,abandoned
facebook,hhvm,6920,348,1,abandoned
facebook,hhvm,6907,62,1,abandoned
facebook,hhvm,7025,6275,12,abandoned
facebook,hhvm,6990,124802200,49,abandoned
facebook,hhvm,6926,277006,17,abandoned
facebook,hhvm,6991,559884866,250,abandoned
facebook,hhvm,6891,8,1,abandoned
facebook,hhvm,6903,29843,1,abandoned
facebook,hhvm,6892,366293,1,abandoned
facebook,hhvm,6890,4139300,1,abandoned
facebook,hhvm,6884,0,1,abandoned
facebook,hhvm,6900,1601,2,abandoned
facebook,hhvm,6889,2104,2,abandoned
facebook,hhvm,6880,4641,1,abandoned
facebook,hhvm,6874,3716,1,abandoned
facebook,hhvm,6888,1176,4,abandoned
facebook,hhvm,6876,215891,4,abandoned
facebook,hhvm,6898,337,3,abandoned
facebook,hhvm,6875,40393,2,abandoned
facebook,hhvm,6871,9562,2,abandoned
facebook,hhvm,6873,25128,3,abandoned
facebook,hhvm,6867,3855,1,abandoned
facebook,hhvm,6861,3941,1,abandoned
facebook,hhvm,6872,3005,2,abandoned
facebook,hhvm,6869,93054,1,abandoned
facebook,hhvm,6860,5576,2,abandoned
facebook,hhvm,6855,18221,1,abandoned
facebook,hhvm,6868,2380,3,abandoned
facebook,hhvm,6859,64,1,abandoned
facebook,hhvm,6854,364,1,abandoned
facebook,hhvm,6870,3121,2,abandoned
facebook,hhvm,6850,3021,1,merged
facebook,hhvm,6847,654,2,abandoned
facebook,hhvm,6849,2240823,17,abandoned
facebook,hhvm,6895,5225674,52,abandoned
facebook,hhvm,6866,1425368,250,abandoned
facebook,hhvm,6846,605,1,abandoned
facebook,hhvm,6837,642,2,abandoned
facebook,hhvm,6842,404,3,abandoned
